spec,phi,p,pos,date,ν,θ,τ,sr,workweek,R,τExo,srExo,workweekExo
scale,0.75,0.9424124161123592,0,1960,1.405486131972424,0.7382263650417814,0.12979243466148052,0.24183757010760934,39.229359196160644,2.4907263133214896,0.12979243466147017,0.2418375701076152,39.229359196160864
scale,0.75,0.9424124161123592,1,1990,1.405486131972424,0.7382263650417814,0.12979243466148052,0.23772580087147188,39.284404554285416,2.4931722329043446,0.1297924346614702,0.23772580087147707,39.28440455428564
scale,0.75,0.9424124161123592,2,2020,1.339667762739423,0.7382263650417814,0.14428571428571207,0.2199141152521539,39.39271016725519,2.442999995727362,0.1442857142857032,0.2199141139055686,39.392710265653776
scale,0.75,0.9424124161123592,3,2050,1.1219986438186136,0.7382262838303391,0.19798057696827656,0.2022749916704905,39.14309358576607,2.2504960159312604,0.19798057594829757,0.20283710058060492,39.098644351838274
scale,0.75,0.9424124161123592,4,2080,1.0688804499803877,0.7734812825239957,0.2121190391919477,0.19864095237006205,38.93730172886972,2.252102115832276,0.212623049883694,0.199133902292241,38.88702180181427
scale,0.75,0.9424124161123592,5,2110,1.0688804499803877,0.7779413364828957,0.2120487105241185,0.19865868366990178,38.862115317542205,2.2866901653102603,0.212623049883694,0.1991339022922411,38.81158219580416
scale,0.75,0.9424124161123592,6,2140,1.0688804499803877,0.7779413364830942,0.21204871052411534,0.19865868366991557,38.83524903811276,2.299022991951398,0.212623049883694,0.19913390229224104,38.78462560779534
scale,0.75,0.9424124161123592,7,2170,1.0688804499803877,0.777941336482243,0.21204871052412894,0.1840933831920178,39.06091832712042,2.3132139321563336,0.212623049883694,0.1849830867671915,38.9754879853997
flat,0.5,0.7021897718662036,0,1960,1.405486131972424,0.7163644975582734,0.12996610163158345,0.24189778694816777,39.22418139741613,2.4901062842126,0.12996610163157163,0.24189778694817451,39.22418139741638
flat,0.5,0.7021897718662036,1,1990,1.405486131972424,0.7163644975582734,0.12996610163158345,0.23772825082614518,39.280060696039094,2.4925889612308976,0.1299661016315717,0.23772825082615132,39.28006069603936
flat,0.5,0.7021897718662036,2,2020,1.339667762739423,0.7163644975582734,0.14428571428572454,0.2197587748815267,39.39271026620924,2.4430000000241736,0.1442857142857143,0.21975877488909157,39.392710265653776
flat,0.5,0.7021897718662036,3,2050,1.1219986438186136,0.716364498073452,0.19742492571856537,0.20268833237589431,39.11201009527827,2.250357707450877,0.19742492572422377,0.20278193257553967,39.10455496889509
flat,0.5,0.7021897718662036,4,2080,1.0688804499803877,0.7230177288789768,0.21185834307398096,0.19903009775920882,38.904377232204816,2.248763680338891,0.21193989237038907,0.19911452116180392,38.89582514251164
flat,0.5,0.7021897718662036,5,2110,1.0688804499803877,0.7239931771521039,0.21184539416919748,0.1990333677573904,38.829994668242165,2.2825739908819624,0.21193989237038907,0.19911452116180392,38.82141293919106
