spec,phi,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
flat,0.25,0.4419442462050752,baseline,True,0.7167652510480904,0.7167652510480904,0.7167652510480904,0.1442857142857141,0.21975625275818197,39.39271026486787,0.19741579282419955,0.20278106005379104,39.104652438583265
flat,0.25,0.4419442462050752,baseline,False,0.7160134925786685,0.7167652443160643,0.7205005628060273,0.14428571434677886,0.21970166182226658,39.396734663101626,0.19737420938921357,0.20269271032454847,39.11245913297113
flat,0.25,0.4419442462050752,mild,True,0.7167652510480904,0.7167652510480904,0.7167652510480904,0.18490299644074287,0.20543668305239096,39.070138970320336,0.21414000179320716,0.19641686498193492,38.898010791772165
flat,0.25,0.4419442462050752,mild,False,0.7222235125079121,0.7223016466648761,0.7230056258412904,0.1848417717562927,0.2053614634270275,39.07721217623852,0.21406560844110803,0.196318958025312,38.907442086315235
flat,0.25,0.4419442462050752,acute,True,0.7167652510480904,0.7167652510480904,0.7167652510480904,0.23179130382452381,0.18989573072633048,38.646006785564936,0.23179130382452381,0.18989573072633048,38.64600678556492
flat,0.25,0.4419442462050752,acute,False,0.7264248157066024,0.7264248157066049,0.7264248157066049,0.23166739215300797,0.18978920579576533,38.65744281179012,0.23166739215300797,0.1897892057957656,38.65745127010696
flat,0.25,0.4419442462050752,frIncome,True,0.42909591863646135,0.42909591863646135,0.42909591863646135,0.10116781896229296,0.24862514069799407,41.242751213861816,0.156212065753681,0.229777396273504,40.94670390848738
flat,0.25,0.4419442462050752,frIncome,False,0.9022132965422417,0.9022047984080854,0.9027335220162555,0.1314545772773047,0.22383576858865203,41.06001150826683,0.18451698830397809,0.2064654345095623,40.71622180045163
flat,0.25,0.4419442462050752,frLeisure,True,0.7167652510480904,0.7167652510480904,0.7167652510480904,0.14428571428571418,0.21975625275818203,34.742386421270886,0.19741579282419947,0.202781060053791,34.48833392665549
flat,0.25,0.4419442462050752,frLeisure,False,0.7160134925780045,0.716765244313055,0.7205005628054844,0.14428571434680626,0.21970166182226727,34.74593573782184,0.19737420938921996,0.20269271032454717,34.49521903791774
flat,0.25,0.4419442462050752,frVoting,True,0.7167652510480904,0.7167652510480904,0.7167652510480904,0.15338018700317238,0.21521711093222815,39.191349829052236,0.2064622834552848,0.1985014125988037,38.89816896802654
flat,0.25,0.4419442462050752,frVoting,False,0.6397733776954169,0.6399436467789662,0.6422114530731465,0.1552634468099876,0.21570936904514643,39.088348188526375,0.20845656679972438,0.19887705587780863,38.79611371322087
flat,0.25,0.4419442462050752,frBoth,True,0.42909591863646135,0.42909591863646135,0.42909591863646135,0.1122280758941752,0.2427656368146378,40.991100280549325,0.16722766446573062,0.2242377079156774,40.68905105633444
flat,0.25,0.4419442462050752,frBoth,False,0.8260789837700779,0.8260265541782754,0.8263798813186517,0.13453508201193218,0.22309444990926056,40.89152153073834,0.18766824732437323,0.20581895493790817,40.55284815940042
flat,0.25,0.4419442462050752,frAll,True,0.4290959186364613,0.4290959186364613,0.4290959186364613,0.11222807589417515,0.2427656368146379,36.15208591143854,0.1672276644657305,0.22423770791567735,35.88569370853197
flat,0.25,0.4419442462050752,frAll,False,0.8260789837700369,0.8260265541782368,0.8263798813187911,0.13453508201193246,0.22309444990925895,36.06426246943585,0.18766824732437243,0.20581895493788643,35.765569613361045
flat,0.75,1.8834441907025743,baseline,True,0.7133201783765508,0.7133201783765508,0.7133201783765508,0.14428571428571382,0.21977800421396423,39.39271026491741,0.19749443789826823,0.2027886092576773,39.10381345072125
flat,0.75,1.8834441907025743,baseline,False,0.7116789869513213,0.7133202145870207,0.7201205679596269,0.1442857139803128,0.21967710547201663,39.40005765250705,0.19742182866213048,0.20263910349768272,39.11684057199135
flat,0.75,1.8834441907025743,mild,True,0.7133201783765508,0.7133201783765508,0.7133201783765508,0.18496486872342918,0.20545001074176256,39.0691543772023,0.21423938314800078,0.1964234290172776,38.89662262939041
flat,0.75,1.8834441907025743,mild,False,0.7227177155160973,0.7228556042170726,0.7239536704060224,0.18486374898824573,0.20531887599928567,39.081107861834184,0.21411707838615107,0.1962601758765486,38.9119871674645
