ρ,spec,phi,commonX,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1,method
0.5,scale,0.5,True,0.9349541524512563,frAll,False,1.0,1.0,1.0,0.1312828859763916,0.22629629171163157,35.166939520235424,0.18864140906421567,0.20755243618553268,34.97598846842621,exact
0.5,scale,0.5,True,0.9349541524512563,France,True,1.0,1.0,1.0,0.21285714285714305,0.20931834788977338,35.44171484902159,0.23382722130547118,0.2017517088670786,35.375494329474016,exact
2.0,scale,0.5,True,0.0854650103204216,baseline,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.14428571428469805,0.21221852219915976,39.392710265653776,0.19101485644269944,0.19785164007052833,39.069361971449304,exact
2.0,scale,0.5,True,0.0854650103204216,baseline,False,0.7216262160940651,0.7382266443498735,0.7456923662031706,0.14432456672834326,0.21217723350201897,39.40156540250622,0.19112514614411794,0.19768465369405933,39.09695773354026,exact
2.0,scale,0.5,True,0.0854650103204216,acute,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.2200545748633474,0.18663453480649375,38.714467163614636,0.2200549595427558,0.1866340334381289,38.71446808519647,exact
2.0,scale,0.5,True,0.0854650103204216,acute,False,0.8205754033343977,0.8208135140432089,0.8208114332933762,0.22035303293410885,0.1860926325251813,38.804785808226065,0.22035423123358938,0.1860899469051638,38.805171233150006,exact
2.0,scale,0.5,True,0.0854650103204216,frIncome,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.13640999999726722,0.2145093932507583,40.218732737483634,0.1835765600206289,0.19996108785403327,39.88691671713002,exact
2.0,scale,0.5,True,0.0854650103204216,frIncome,False,1.0,1.0,1.0,0.14360819471258862,0.2108573549105962,40.39127024360145,0.1905086440391956,0.19652255087942222,40.06216563021746,exact
2.0,scale,0.5,True,0.0854650103204216,frLeisure,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.14428856103013038,0.21221739474316453,34.8940320157795,0.1910179293604778,0.19785055729735782,34.60758606975379,exact
2.0,scale,0.5,True,0.0854650103204216,frLeisure,False,0.7216147719573074,0.7382372252808616,0.7456995196328541,0.14433726221795345,0.21217443692534985,34.90174841084124,0.1911291750267847,0.19768538414242576,34.63194511681565,exact
2.0,scale,0.5,True,0.0854650103204216,frVoting,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.16130153566077973,0.20730717594822312,39.1029922214817,0.20731840528056564,0.1932858637649041,38.7815886845773,exact
2.0,scale,0.5,True,0.0854650103204216,frVoting,False,0.25787356641792325,0.2585742417392478,0.2615631050808392,0.17525764079331219,0.2067819812892114,38.29802520567595,0.2204735831676108,0.19283409310259023,37.98922038030223,exact
2.0,scale,0.5,True,0.0854650103204216,frBoth,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.148644881687381,0.21093555753858975,40.00770577584779,0.19525653192365333,0.19664695459510434,39.678145316556524,exact
2.0,scale,0.5,True,0.0854650103204216,frBoth,False,0.49348170054708523,0.49438655089774564,0.499591439414733,0.14986318548493516,0.21208103973728729,39.71708403147098,0.19640280404400995,0.19772320452619505,39.39340497511561,exact
2.0,scale,0.5,True,0.0854650103204216,frAll,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.14864824410690652,0.21093426647513436,35.43878585869233,0.1952602480537074,0.19664571795446922,35.14683510317419,exact
2.0,scale,0.5,True,0.0854650103204216,frAll,False,0.4934807408271374,0.49438799266999855,0.4995960945884424,0.14986610473628892,0.21208021079685166,35.18135295275317,0.1964044850557491,0.19772311571844844,34.89464185997661,exact
2.0,scale,0.5,True,0.0854650103204216,France,True,1.0,1.0,1.0,0.21285714285714175,0.1782130198538734,35.441714849021594,0.22982965250954254,0.17186798087061245,35.32146586255724,exact
