ρ,preferences,spec,phi,commonX,method,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
0.5,CRRA,scale,0.5,True,path,0.9648183635245238,frVoting,False,0.7818938638581248,0.662022447653391,0.6723597530626214,0.1503557512613173,0.2272365401646285,39.202052461631766,0.2088302436021957,0.2082792252851634,38.97230472247384
0.5,CRRA,scale,0.5,True,path,0.9648183635245238,frVoting,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.1477902940673449,0.2257644586961302,39.29479749492186,0.2062648434922323,0.2071370689596806,39.06202416002848
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,France,True,1.0,1.0,1.0,0.2128571428571417,0.1782130198538734,35.441714849021594,0.2298296525095425,0.1718679808706124,35.32146586255724
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,acute,False,0.6037127235970363,0.8460263104717297,0.8439156757858224,0.2205512256401483,0.1858669999951266,38.83416613617786,0.2205633503595818,0.1858910982060042,38.82989910756225
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.2200648038234565,0.186636184582471,38.71432270564299,0.2200651912237189,0.186635686063542,38.71432351635152
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,baseline,False,0.6084803760844674,0.7394155968854988,0.7609018165395033,0.1445003143774944,0.211994796176181,39.42148699865994,0.1916206941615115,0.19729410088731,39.14065954762489
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1442857142857145,0.2122205974215887,39.392710265653776,0.1910218978188379,0.1978529824559418,39.06928527047268
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,frAll,False,0.426391561559696,0.5080868936416498,0.522407879650732,0.1496363438463869,0.2120086196980518,35.21074063749836,0.1963817718379411,0.1974691885641446,34.942928766159376
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,frAll,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1486460528691212,0.2109376339049851,35.43827732982631,0.1952645135241235,0.1966483306122414,35.14629016125669
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,frBoth,False,0.4263965055370289,0.5080895034932461,0.5224036853177816,0.1496315275679947,0.2120103030645599,41.22334489948627,0.1963769084775658,0.1974709335022456,40.90982887696016
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,frBoth,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1486426263278611,0.2109390737747023,41.48970762693436,0.1952600790969073,0.196649979655822,41.147900137234416
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,frIncome,False,1.0,1.0,1.0,0.1439491865214704,0.2107270887460345,41.88396328205547,0.1908263153659903,0.196413066712401,41.54120824106012
2.0,CRRA,scale,0.5,True,path,0.0900677838985416,frIncome,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.136402998580025,0.21451334746747,41.70863682483508,0.1835765161176317,0.1999643988697776,41.36448139178495
